Pin Number,Pin ID,Custom Name,Function,Direction,Latch,Open Drain,PIO Interrupt,Pull Up,Pull Down,Glitch/Debounce Filter,Drive Strength
A1,PB10,,Available,In,,,,,,,
A2,PB8,,Available,In,,,,,,,
A3,PB6,,Available,In,,,,,,,
A4,PB4,,Available,In,,,,,,,
A5,PB1,,Available,In,,,,,,,
A6,PB0,,Available,In,,,,,,,
B1,PB11,,Available,In,,,,,,,
B2,PB12,,Available,In,,,,,,,
B3,PB9,,Available,In,,,,,,,
B4,PB7,,Available,In,,,,,,,
B5,PB3,,Available,In,,,,,,,
B6,PB2,,Available,In,,,,,,,
C1,PB13,,Available,In,,,,,,,
C2,PB17,,Available,In,,,,,,,
C3,PB20,,Available,In,,,,,,,
C4,PB19,,Available,In,,,,,,,
C5,PB16,,Available,In,,,,,,,
D1,PB21,,Available,In,,,,,,,
D2,PB22,,Available,In,,,,,,,
D3,PB24,,Available,In,,,,,,,
D4,PB18,,Available,In,,,,,,,
D5,PB14,,Available,In,,,,,,,
D6,PB5,,Available,In,,,,,,,
E1,PB23,,Available,In,,,,,,,
E2,PB26,,Available,In,,,,,,,
E3,PB25,,Available,In,,,,,,,
E5,PB15,,Available,In,,,,,,,
E6,PB27,,Available,In,,,,,,,
F1,PB28,,Available,In,,,,,,,
F2,PB30,,Available,In,,,,,,,
F3,PD8,,Available,In,,,,,,,
F5,PD7,,Available,In,,,,,,,
F6,PB29,,Available,In,,,,,,,
F7,PB31,,Available,In,,,,,,,
G1,PD16,,Available,In,,,,,,,
G2,PD17,,Available,In,,,,,,,
G3,PD18,,Available,In,,,,,,,
G4,PD10,,Available,In,,,,,,,
G5,PD9,,Available,In,,,,,,,
G6,PD14,,Available,In,,,,,,,
H1,PD11,,Available,In,,,,,,,
H3,PD13,,Available,In,,,,,,,
H4,PD19,,Available,In,,,,,,,
H5,PD15,,Available,In,,,,,,,
H6,PD12,,Available,In,,,,,,,
J1,PD20,,Available,In,,,,,,,
J3,PD22,,Available,In,,,,,,,
J8,PC5,,Available,In,,,,,,,
J9,PC8,,Available,In,,,,,,,
K1,PD21,,Available,In,,,,,,,
K2,PD23,,Available,In,,,,,,,
K5,PIOBU0,,Available,In,,,,,,,
K10,PC3,,Available,In,,,,,,,
L3,PIOBU1,,Available,In,,,,,,,
L5,PIOBU4,,Available,In,,,,,,,
L9,PA18,,Available,In,,,,,,,
L10,PA25,,Available,In,,,,,,,
M3,PIOBU2,,Available,In,,,,,,,
M6,PIOBU5,,Available,In,,,,,,,
M9,PA20,,Available,In,,,,,,,
M10,PA21,,Available,In,,,,,,,
M11,PA28,,Available,In,,,,,,,
M12,PA31,,Available,In,,,,,,,
M13,PC0,,Available,In,,,,,,,
M14,PC7,,Available,In,,,,,,,
N4,PIOBU3,,Available,In,,,,,,,
N9,PA19,,Available,In,,,,,,,
N10,PA24,,Available,In,,,,,,,
N11,PA29,,Available,In,,,,,,,
N12,PA30,,Available,In,,,,,,,
N13,PC2,,Available,In,,,,,,,
N14,PC6,,Available,In,,,,,,,
P9,PA22,,Available,In,,,,,,,
P10,PA23,,Available,In,,,,,,,
P11,PA26,,Available,In,,,,,,,
P12,PA27,,Available,In,,,,,,,
P13,PC1,,Available,In,,,,,,,
P14,PC4,,Available,In,,,,,,,
